tower_id,lat,lng,operator,signal_score,frequency_mhz,tx_power_dbm,height_m,zone,radio,range_m,samples,avg_signal_dbm,mcc,mnc,lac,cellid
OCI_405_34_29571,12.96,77.58,Unknown,65,900,43,35,MG Road,GSM,1000,1,0,405,34,12000,29571
OCI_404_86_40121,12.96,77.59,Vi,65,900,43,35,MG Road,GSM,1000,1,0,404,86,50005,40121
OCI_404_44_11053099,12.96,77.59,Unknown,70,1800,46,30,MG Road,LTE,1000,1,0,404,44,41114,11053099
OCI_404_45_3422,12.96,77.59,Airtel,65,900,43,35,MG Road,GSM,7709,1,0,404,45,408,3422
OCI_404_45_232196610,12.96,77.59,Airtel,70,1800,46,30,MG Road,LTE,1000,1,0,404,45,9156,232196610
OCI_404_71_20345143,12.96,77.59,BSNL,60,2100,43,30,MG Road,UMTS,1000,1,0,404,71,3310,20345143
OCI_404_71_25051,12.96,77.59,BSNL,65,900,43,35,MG Road,GSM,1000,1,0,404,71,125,25051
OCI_404_86_40121,12.96,77.59,Vi,65,900,43,35,MG Road,GSM,1000,1,0,404,86,51118,40121
OCI_404_86_205127431,12.96,77.58,Vi,70,1800,46,30,MG Road,LTE,1000,1,0,404,86,54117,205127431
OCI_404_45_27476497,12.96,77.58,Airtel,60,2100,43,30,MG Road,UMTS,1000,1,0,404,45,34191,27476497
OCI_405_861_1818404,12.96,77.58,Jio,70,1800,46,30,MG Road,LTE,1000,1,0,405,861,11,1818404
OCI_405_34_86971,12.96,77.59,Unknown,60,2100,43,30,MG Road,UMTS,1000,1,0,405,34,10001,86971
OCI_404_45_16911,12.96,77.58,Airtel,65,900,43,35,MG Road,GSM,1000,1,0,404,45,25013,16911
OCI_404_45_232196640,12.96,77.59,Airtel,70,1800,46,30,MG Road,LTE,1000,1,0,404,45,9156,232196640
OCI_405_34_21252,12.96,77.59,Unknown,65,900,43,35,MG Road,GSM,1000,1,0,405,34,12000,21252
OCI_404_45_31422,12.96,77.59,Airtel,65,900,43,35,MG Road,GSM,1000,1,0,404,45,25043,31422
OCI_404_45_53181,12.96,77.59,Airtel,65,900,43,35,MG Road,GSM,1000,1,0,404,45,25043,53181
OCI_404_45_232196619,12.96,77.59,Airtel,70,1800,46,30,MG Road,LTE,1000,1,0,404,45,9156,232196619
OCI_404_45_59483,12.96,77.59,Airtel,65,900,43,35,MG Road,GSM,1000,1,0,404,45,25043,59483
OCI_404_45_46198027,12.96,77.59,Airtel,70,1800,46,30,MG Road,LTE,1000,1,0,404,45,8368,46198027
OCI_405_34_28971,12.96,77.59,Unknown,65,900,43,35,MG Road,GSM,1000,1,0,405,34,16000,28971
OCI_404_45_232196620,12.96,77.59,Airtel,70,1800,46,30,MG Road,LTE,1000,1,0,404,45,9156,232196620
OCI_405_861_81936,12.96,77.59,Jio,70,1800,46,30,MG Road,LTE,1000,1,0,405,861,11,81936
OCI_404_71_25813,12.96,77.58,BSNL,65,900,43,35,MG Road,GSM,1000,1,0,404,71,125,25813
OCI_404_45_16913,12.96,77.58,Airtel,65,900,43,35,MG Road,GSM,1000,1,0,404,45,25014,16913
OCI_405_861_1058577,12.96,77.59,Jio,70,1800,46,30,MG Road,LTE,1000,1,0,405,861,11,1058577
OCI_405_34_160047,12.96,77.59,Unknown,60,2100,43,30,MG Road,UMTS,1000,1,0,405,34,10002,160047
OCI_404_45_182091798,12.96,77.59,Airtel,70,1800,46,30,MG Road,LTE,1000,1,0,404,45,8368,182091798
OCI_404_86_20610401,12.96,77.59,Vi,60,2100,43,30,MG Road,UMTS,1000,1,0,404,86,21401,20610401
OCI_404_45_432906,12.96,77.58,Airtel,70,1800,46,30,MG Road,LTE,1000,1,0,404,45,9156,432906
OCI_404_86_205059334,12.91,77.62,Vi,70,1800,46,30,Koramangala,LTE,1000,1,0,404,86,54139,205059334
OCI_405_861_4038949,12.91,77.61,Jio,70,1800,46,30,Koramangala,LTE,1000,1,0,405,861,19,4038949
OCI_404_45_2331,12.91,77.61,Airtel,65,900,43,35,Koramangala,GSM,1000,1,0,404,45,460,2331
OCI_404_45_12681,12.91,77.61,Airtel,65,900,43,35,Koramangala,GSM,1000,1,0,404,45,460,12681
OCI_404_86_20865694,12.91,77.61,Vi,60,2100,43,30,Koramangala,UMTS,1000,1,0,404,86,21801,20865694
OCI_404_86_205030662,12.91,77.61,Vi,70,1800,46,30,Koramangala,LTE,1000,1,0,404,86,54113,205030662
OCI_404_86_10131,12.91,77.62,Vi,65,900,43,35,Koramangala,GSM,1000,1,0,404,86,31901,10131
OCI_405_861_24611,12.91,77.62,Jio,70,1800,46,30,Koramangala,LTE,1000,1,0,405,861,19,24611
OCI_404_45_26283074,12.91,77.61,Airtel,60,2100,43,30,Koramangala,UMTS,1000,1,0,404,45,34012,26283074
OCI_405_861_87089,12.91,77.61,Jio,70,1800,46,30,Koramangala,LTE,1000,1,0,405,861,132,87089
OCI_404_86_43892,12.91,77.61,Vi,65,900,43,35,Koramangala,GSM,12705,1,0,404,86,31901,43892
